"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY.ID","COUNTRY","INDICATOR.ID","INDICATOR","COUNTERPART_COUNTRY.ID","COUNTERPART_COUNTRY","FREQUENCY.ID","FREQUENCY","SCALE.ID","SCALE","TRADE_FLOW.ID","TRADE_FLOW","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.ANT.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","ANT","Netherlands Antilles","A","Annual","6","Millions","XG","Exports of goods","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.SLB.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","SLB","Solomon Islands","A","Annual","6","Millions","MG","Imports of goods","0.065154","0.003997","0.012763","0.014415","0.011308","0.021523","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.GNB.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","GNB","Guinea-Bissau","A","Annual","6","Millions","MG","Imports of goods","0.000112","0.000447","0.000024","0.085388","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.GRD.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","GRD","Grenada","A","Annual","6","Millions","MG","Imports of goods","0.01403","0.052022","0.03372","0.04214","0.102469","0.042679","0.042679","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.NCL.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","NCL","New Caledonia","A","Annual","6","Millions","MG","Imports of goods","0.001056","0.005084","0.00009","0.000152","0.006931","0.004704","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.BWA.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","BWA","Botswana","A","Annual","6","Millions","MG","Imports of goods","0.001577","0.532179","0.337709","7.515842","4.317657","15.7032","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.GUM.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","GUM","Guam","A","Annual","6","Millions","XG","Exports of goods","0.012515","","0.002118","0.000349","","0.021538","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.GUM.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","GUM","Guam","A","Annual","6","Millions","MG","Imports of goods","0.00004","","","","","0.000131","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.TX126.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","TX126","Belgium-Luxembourg","A","Annual","6","Millions","MG","Imports of goods","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.PLW.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","PLW","Palau, Republic of","A","Annual","6","Millions","MG","Imports of goods","0.003574","0.000006","","0.000882","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.XG_FOB_USD.TX899.A","OBS_VALUE","RUS","Russian Federation","XG_FOB_USD","Exports of goods, Free on board (FOB), US dollar","TX899","Special Categories","A","Annual","6","Millions","XG","Exports of goods","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.DJI.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","DJI","Djibouti","A","Annual","6","Millions","MG","Imports of goods","0.000062","","","0.000001","0.000026","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.CSK.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","CSK","Czechoslovakia","A","Annual","6","Millions","MG","Imports of goods","","","","","","","","",""
"IMF.STA:IMTS(1.0.0)","RUS.MG_CIF_USD.BRN.A","OBS_VALUE","RUS","Russian Federation","MG_CIF_USD","Imports of goods, Cost insurance freight (CIF), US dollar","BRN","Brunei Darussalam","A","Annual","6","Millions","MG","Imports of goods","0.000008","0.001576","0.002549","0.005592","0.009795","0.003949","","",""
